kepoi_name,kepid,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_prad,koi_depth,koi_time0bk
"K00590.01",9782691,"Kepler-193 b","CONFIRMED","CANDIDATE",11.38840217,3.04,438,174.55377
"K00597.02",10600261,"Kepler-194 b","CONFIRMED","CANDIDATE",2.09227115,2.06,207.6,133.06258
"K00507.01",5812960,"Kepler-582 b","CONFIRMED","CANDIDATE",18.49234792,3.34,1655.5,173.49816
"K00511.01",6451936,"Kepler-173 c","CONFIRMED","CANDIDATE",8.00579096,2.36,629.7,170.50325
"K06863.01",7350067,"Kepler-1646 b","CONFIRMED","CANDIDATE",4.48559215,0.95,2265,135.43172
"K00523.01",8806123,"Kepler-177 c","CONFIRMED","CANDIDATE",49.41121127,6.77,3184,198.238709
"K00530.01",10266615,"Kepler-587 b","CONFIRMED","CANDIDATE",10.94026745,2.08,538.6,170.30551
"K00538.01",11090765,"Kepler-593 b","CONFIRMED","CANDIDATE",21.21712312,2.97,636,171.64936
"K00551.02",4270253,"Kepler-183 b","CONFIRMED","CANDIDATE",5.68798675,2.76,476.4,133.95607
"K00590.02",9782691,"Kepler-193 c","CONFIRMED","CANDIDATE",50.6985408,3.58,610.9,141.31813
"K00597.03",10600261,"Kepler-194 d","CONFIRMED","CANDIDATE",52.8148051,3.33,553.7,164.90456
"K00508.01",6266741,"Kepler-170 b","CONFIRMED","CANDIDATE",7.930583519,3.05,826.1,169.516944
"K00511.02",6451936,"Kepler-173 b","CONFIRMED","CANDIDATE",4.26374378,1.28,182,133.72073
"K00519.01",8022244,"Kepler-175 b","CONFIRMED","CANDIDATE",11.90352088,2.56,633,178.34161
"K00546.02",12058931,"Kepler-182 b","CONFIRMED","CANDIDATE",9.82578495,2.66,433.3,131.42495
"K00561.01",6665695,"Kepler-601 b","CONFIRMED","CANDIDATE",5.378868001,1.86,483.4,169.61512
"K00567.02",7445445,"Kepler-184 c","CONFIRMED","CANDIDATE",20.30303506,2.16,533.4,176.8028
